0,-0.64,-0.355
0.004,-1.025,-0.345
0.008,-0.975,-0.31
0.012,-0.96,-0.29
0.016,-0.975,-0.28
0.02,-1.085,-0.285
0.024,-1.19,-0.25
0.028,-1.175,-0.255
0.032,-1.09,-0.25
0.036,-1.02,-0.24
0.04,-0.965,-0.24
0.044,-1.01,-0.2
0.048,-1.005,-0.155
0.052,-0.985,-0.13
0.056,-0.94,-0.11
0.06,-0.91,-0.16
0.064,-0.935,-0.155
0.068,-0.94,-0.14
0.072,-0.87,-0.13
0.076,-0.845,-0.085
0.08,-0.82,-0.055
0.084,-0.8,-0.07
0.088,-0.79,-0.1
0.092,-0.78,-0.16
0.096,-0.725,-0.245
0.1,-0.725,-0.32
0.104,-0.81,-0.395
0.108,-0.995,-0.395
0.112,-1.12,-0.355
0.116,-1.14,-0.335
0.12,-1.08,-0.315
0.124,-1.06,-0.325
0.128,-1.105,-0.3
0.132,-1.25,-0.275
0.136,-1.425,-0.29
0.14,-1.525,-0.26
0.144,-1.56,-0.225
0.148,-1.515,-0.22
0.152,-1.455,-0.26
0.156,-1.395,-0.285
0.16,-1.36,-0.26
0.164,-1.38,-0.28
0.168,-1.395,-0.3
0.172,-1.325,-0.285
0.176,-1.125,-0.23
0.18,-0.835,-0.175
0.184,-0.56,-0.125
0.188,-0.295,-0.13
0.192,0.025,-0.3
0.196,0.48,-0.63
0.2,1.01,-1.125
0.204,1.515,-1.745
0.208,1.665,-2.34
0.212,1.48,-2.82
0.216,1.185,-3.23
0.22,0.74,-3.33
0.224,0.145,-2.98
0.228,-0.335,-2.345
0.232,-0.65,-1.82
0.236,-0.945,-1.425
0.24,-1.315,-1.16
0.244,-1.745,-0.9
0.248,-1.96,-0.74
0.252,-1.985,-0.625
0.256,-1.92,-0.565
0.26,-1.865,-0.52
0.264,-1.875,-0.44
0.268,-1.825,-0.34
0.272,-1.785,-0.19
0.276,-1.765,-0.06
0.28,-1.715,0.03
0.284,-1.625,0.115
0.288,-1.525,0.155
0.292,-1.45,0.105
0.296,-1.465,0.045
0.3,-1.61,0.035
0.304,-1.765,0.015
0.308,-1.835,-0.035
0.312,-1.78,-0.055
0.316,-1.685,-0.015
0.32,-1.615,0.005
0.324,-1.595,0.085
0.328,-1.585,0.1
0.332,-1.625,0.11
0.336,-1.665,0.095
0.34,-1.625,0.12
0.344,-1.545,0.145
0.348,-1.49,0.175
0.352,-1.475,0.205
0.356,-1.56,0.25
0.36,-1.715,0.295
0.364,-1.84,0.365
0.368,-1.83,0.445
0.372,-1.8,0.515
0.376,-1.85,0.575
0.38,-1.89,0.645
0.384,-1.915,0.615
0.388,-1.895,0.57
0.392,-1.895,0.51
0.396,-1.885,0.51
0.4,-1.895,0.58
0.404,-1.86,0.625
0.408,-1.795,0.6
0.412,-1.72,0.61
0.416,-1.68,0.62
0.42,-1.745,0.64
0.424,-1.785,0.645
0.428,-1.81,0.665
0.432,-1.86,0.655
0.436,-1.9,0.67
0.44,-1.825,0.625
0.444,-1.72,0.53
0.448,-1.645,0.37
0.452,-1.62,0.185
0.456,-1.645,0.1
0.46,-1.675,0.085
0.464,-1.69,0.05
0.468,-1.67,0.015
0.472,-1.59,-0.05
0.476,-1.495,-0.09
0.48,-1.41,-0.14
0.484,-1.39,-0.13
0.488,-1.48,-0.13
0.492,-1.635,-0.15
0.496,-1.7,-0.165
0.5,-1.71,-0.135
0.504,-1.675,-0.09
0.508,-1.64,-0.075
0.512,-1.575,-0.135
0.516,-1.515,-0.2
0.52,-1.485,-0.245
0.524,-1.495,-0.28
0.528,-1.645,-0.29
0.532,-1.795,-0.235
0.536,-1.875,-0.18
0.54,-1.82,-0.135
0.544,-1.785,-0.08
0.548,-1.765,-0.135
0.552,-1.765,-0.21
0.556,-1.76,-0.275
0.56,-1.735,-0.29
0.564,-1.69,-0.28
0.568,-1.64,-0.255
0.572,-1.6,-0.225
0.576,-1.595,-0.205
0.58,-1.605,-0.205
0.584,-1.585,-0.195
0.588,-1.63,-0.235
0.592,-1.795,-0.195
0.596,-1.945,-0.19
0.6,-2.025,-0.115
0.604,-1.94,-0.085
0.608,-1.9,-0.11
0.612,-1.855,-0.2
0.616,-1.815,-0.27
0.62,-1.755,-0.255
0.624,-1.7,-0.25
0.628,-1.64,-0.22
0.632,-1.62,-0.205
0.636,-1.635,-0.16
0.64,-1.65,-0.14
0.644,-1.595,-0.14
0.648,-1.515,-0.08
0.652,-1.395,-0.03
0.656,-1.295,0.04
0.66,-1.245,0.025
0.664,-1.26,-0.03
0.668,-1.32,-0.095
0.672,-1.455,-0.11
0.676,-1.51,-0.105
0.68,-1.56,-0.12
0.684,-1.62,-0.135
0.688,-1.605,-0.135
0.692,-1.585,-0.135
0.696,-1.59,-0.15
0.7,-1.585,-0.16
0.704,-1.6,-0.155
0.708,-1.625,-0.14
0.712,-1.665,-0.115
0.716,-1.71,-0.1
0.72,-1.765,-0.035
0.724,-1.76,-0.025
0.728,-1.775,-0.01
0.732,-1.745,-0.01
0.736,-1.76,-0.03
0.74,-1.82,-0.005
0.744,-1.93,0.05
0.748,-1.99,0.095
0.752,-2.005,0.05
0.756,-2,-0.025
0.76,-1.895,-0.07
0.764,-1.76,-0.075
0.768,-1.53,-0.065
0.772,-1.2,0.03
0.776,-0.89,0.175
0.78,-0.635,0.25
0.784,-0.355,0.075
0.788,0.075,-0.445
0.792,0.59,-1.085
0.796,1.03,-1.725
0.8,1.105,-2.335
0.804,0.98,-2.815
0.808,0.71,-3.145
0.812,0.21,-3.06
0.816,-0.34,-2.485
0.82,-0.8,-1.85
0.824,-1.195,-1.355
0.828,-1.575,-0.905
0.832,-1.93,-0.59
0.836,-2.19,-0.435
0.84,-2.305,-0.39
0.844,-2.345,-0.31
0.848,-2.325,-0.225
0.852,-2.25,-0.08
0.856,-2.155,0.005
0.86,-2.065,0.085
0.864,-1.98,0.165
0.868,-1.95,0.16
0.872,-1.975,0.19
0.876,-2.11,0.235
0.88,-2.155,0.305
0.884,-2.14,0.325
0.888,-2.15,0.355
0.892,-2.175,0.405
0.896,-2.19,0.4
0.9,-2.17,0.415
0.904,-2.125,0.425
0.908,-2.1,0.495
0.912,-2.105,0.53
0.916,-2.11,0.565
0.92,-2.1,0.55
0.924,-2.1,0.495
0.928,-2.085,0.505
0.932,-2.075,0.57
0.936,-2.035,0.645
0.94,-1.94,0.68
0.944,-1.81,0.695
0.948,-1.745,0.705
0.952,-1.785,0.695
0.956,-1.96,0.74
0.96,-2.105,0.755
0.964,-2.175,0.785
0.968,-2.235,0.835
0.972,-2.3,0.88
0.976,-2.335,0.945
0.98,-2.33,0.965
0.984,-2.345,1.03
0.988,-2.34,1.08
0.992,-2.315,1.085
0.996,-2.305,1.105
